id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
260031;01/01/2020;quarta-feira;01:00:00;TO;153;678,1;GURUPI;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;Não;5;0;0;5;0;0;5;1;-11,77460203;-49,10744996;SR-TO;UOP01/TO;
260036;01/01/2020;quarta-feira;01:00:00;RJ;116;178;NOVA IGUACU;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;2;1;0;0;1;0;0;1;-22,75223028;-43,4379103;SR-RJ;DEL5/1;UOP02/RJ
260037;01/01/2020;quarta-feira;01:52:00;SC;101;206,9;SAO JOSE;Ingestão de Álcool;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;Sim;2;0;1;0;1;0;1;2;-27,59193546;-48,61824557;SR-SC;DEL8/1;UOP01/SC
260038;01/01/2020;quarta-feira;01:15:00;RO;364;236;CACOAL;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;Sim;1;0;0;1;0;0;1;1;-11,44624577;-61,43761218;SR-RO;DEL21/2;UOP02/RO
260039;01/01/2020;quarta-feira;01:30:00;PR;153;360;REBOUCAS;Ingestão de Álcool;Capotamento;Com Vítimas Feridas;Plena Noite;Crescente;Garoa/Chuvisco;Simples;Curva;Não;6;0;2;4;0;0;6;1;-25,67503796;-50,75089805;SR-PR;DEL7/3;UOP04/PR
260040;01/01/2020;quarta-feira;00:40:00;RO;319;64;PORTO VELHO;Ingestão de Álcool;Colisão transversal;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;0;0;2;0;0;2;-8,76751908;-63,88427496;SR-RO;DEL21/1;UOP01/RO
260041;01/01/2020;quarta-feira;02:20:00;SC;101;89,9;BARRA VELHA;Falta de Atenção à Condução;Colisão com objeto estático;Sem Vítimas;Plena Noite;Crescente;Garoa/Chuvisco;Dupla;Reta;Sim;1;0;0;0;1;0;0;1;-26,66327987;-48,68898153;SR-SC;DEL8/3;UOP02/SC
260042;01/01/2020;quarta-feira;02:15:00;PR;369;155;LONDRINA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Não Informado;Sim;3;0;1;0;2;0;1;2;-23,29286194;-51,16154861;SR-PR;DEL7/7;UOP01/PR
260043;01/01/2020;quarta-feira;02:30:00;AL;104;37;UNIAO DOS PALMARES;Animais na Pista;Atropelamento de Animal;Com Vítimas Fatais;Plena Noite;Decrescente;Nublado;Simples;Reta;Não;1;1;0;0;0;0;0;1;-9,17491283;-36,02935415;SR-AL;DEL13/1;UOP02/AL
260044;01/01/2020;quarta-feira;00:20:00;RS;290;97;PORTO ALEGRE;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;2;0;2;0;0;0;2;1;-29,997789;-51,20779;SR-RS;DEL9/1;UOP01/RS
260045;01/01/2020;quarta-feira;02:50:00;SC;470;116,3;IBIRAMA;Condutor Dormindo;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Curva;Sim;4;0;2;2;0;0;4;2;-27,07756;-49,49448;SR-SC;DEL8/4;UOP02/SC
260046;01/01/2020;quarta-feira;02:15:00;SC;282;509;XANXERE;Animais na Pista;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;3;0;0;1;1;1;1;1;-26,89436315;-52,4613905;SR-SC;DEL7;UOP01/SC
260050;01/01/2020;quarta-feira;03:40:00;PE;101;49,5;ABREU E LIMA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;4;0;0;2;1;1;2;2;-7,9005152;-34,90180641;SR-PE;DEL11/1;UOP02/PE
260051;01/01/2020;quarta-feira;02:30:00;MT;364;265,3;SAO PEDRO DA CIPA;Falta de Atenção à Condução;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Não Informado;Sim;2;0;2;0;0;0;2;1;-16,00440488;-54,92002387;SR-MT;DEL2/1;UOP02/MT
260052;01/01/2020;quarta-feira;03:10:00;BA;101;174;FEIRA DE SANTANA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;Não;2;0;1;1;0;0;2;1;-12,38;-38,88;SR-BA;DEL10/1;UOP03/BA
